Kí hiệu,Tên tiếng Việt,Tên tiếng Anh,Chu kỳ,Nhóm,Cấu hình electron,Loại nguyên tố,Màu sắc,Màu ngọn lửa,Thuộc tính,Ứng dụng,Hợp chất,Nguyên tử khối,Cách điều chế,Trạng thái vật lý,Môi trường/ pH,Dạng thù hình,Loại phản ứng,Quặng,Tính tan,Màu chất chỉ thị,Tính chất hóa học,Loại nguyên tố,Loại hợp chất,Hóa trị
Bi,Brom,Bromine,,VIB,(n-1) d6 ns2,,Xám,Xanh da trời,Dễ bị ăn mòn,Chế tạo dược phẩm,CuS,184,Tinh chế,Bột mịn,,,Phản ứng kết tủa,Cinnabar,,,Tính tẩy màu,,Oxit bazơ,
Bk,Carbon,Carbon,,VIIB,(n-1) d7 ns2,,Xám bạc,Xanh lam,Dễ cháy,Chế tạo hợp kim,CuS2,19,Điện phân,Vô định hình,,,Phản ứng nhiệt phân,Sylvin,,,Tính háo nước,,Oxit lưỡng tính,
Bl,Calci,Calcium,,VIIIB,(n-1) d8 ns2,,Đen,Xanh lá cây,Dễ gãy,Chế tạo kim cương,CuSO4,2,Điện phân dung dịch,,,,Phản ứng oxi hóa-khử,Halit,,,,,Oxit trung tính,
Bo,Cadmi,Cadmium,,,(n-1) d10 ns1,,Đỏ,Xanh nhạt,Dễ nóng chảy,Chế tạo kim loại,Fe2O3,20,Điện phân muối,,,,Phản ứng thuận nghịch,Criolit,,,,,,
Br,Ceri,Cerium,,,(n-1) d10 ns2,,Đỏ cam,Xanh tím,Dễ phản ứng với oxygen,Chụp X-quang,FeCl2,3,Điện phân nóng chảy,,,,,Thạch cao sống,,,,,,
C,Californi,Californium,,,(n-2) f14 (n-1) d10 ns2,,Cam,Đỏ,Khá nặng và mềm,Công nghiệp,FeCl3,30,Điện phân nước,,,,,Thạch cao nung,,,,,,
Ca,Chlor,Chlorine,,,,,Chàm,Đỏ gạch,Kháng ăn mòn,"Cầu, đường ray",FeS,35,Đun sôi,,,,,Cacnalit,,,,,,
Cd,Curi,Curium,,,,,Hồng,Đỏ thẫm,Không bị oxy hóa,Diêm,Na2O,355,Chưng cất lôi cuốn hơi nước,,,,,Xinvinit,,,,,,
Ce,Cobalt,Cobalt,,,,,Lục,Đỏ tía,Không cháy,Dây điện,NaCl,4,Chưng cất phân đoạn,,,,,Đồng,,,,,,
Cf,Chromi,Chromium,,,,,Màu da cam,Đỏ son,Không có màu,Dệt may,NaHCO3,40,Chưng cất áp suất thấp,,,,,Stibnite,,,,,,
Cl,Caesi,Caesium,,,,,Nâu đất,,Không dẫn điện,Este,NaOH,45,Cracking,,,,,Kernit,,,,,,
Cm,Đồng,Copper (cuprum),,,,,Nâu đỏ,,Không dễ cháy,Hàn,W2O5,47,Khử oxit kim loại,,,,,Borax,,,,,,
Cn,Dysprosi,Dysprosium,,,,,Trắng xanh,,Không màu,Hàng không vũ trụ,WBr4,479,Kết tinh,,,,,Magiezit,,,,,,
Co,Erbi,Erbium,,,,,Trắng đục,,Không mùi,Hạt nhân,WCl2,50,Lọc,,,,,Florit,,,,,,
Cr,Einsteini,Einsteinium,,,,,Tím,,Không phản ứng,Khí nén nhiên liệu tên lửa,WO3,51,Nhiệt luyện,,,,,,,,,,,
Cs,Europi,Europium,,,,,Tím than,,Không tan trong nước,Làm muối ăn,Zn2Cl,52,Phương pháp amoniac,,,,,,,,,,,
Cu,Fluor,Fluorine,,,,,Vàng chanh,,Không độc,Làm phân bón,ZnCl,53,Phương pháp sunfat,,,,,,,,,,,
D,Sắt,Iron (Ferrum),,,,,Vàng kim,,Kim loại cứng,Làm thủy tinh,ZnCl2,54,Phương pháp tiếp xúc,,,,,,,,,,,
Db,Fermi,Fermium,,,,,Xanh lam,,Kim loại mềm,Mạ kim loại,ZnCl3,7,Phương pháp tổng hợp,,,,,,,,,,,
Ds,Franci,Francium,,,,,Xanh rêu,,Mềm,Mỹ phẩm,AgNO3,9,Sắc ký,,,,,,,,,,,
Dy,Gali,Gallium,,,,,Xám chì,,Mềm và dẻo,Nghiên cứu hóa học,Al2O3,11,Thủy luyện,,,,,,,,,,,
Er,Gadolini,Gadonlinium,,,,,Đen tím,,Nhiễm từ,Nhiên liệu,Axit,12,Trao đổi ion,,,,,,,,,,,
Es,Germani,Germanium,,,,,Đỏ gạch,,Nhiệt độ nóng chảy thấp,Nhựa PE,CO,23,Tuyển nổi,,,,,,,,,,,
Eu,Hydro,Hydrogen,,,,,Tất cả đều đúng,,Nhẹ và bền,Nhựa PVC,CO2,24,Đốt cháy,,,,,,,,,,,
F,Heli,Helium,,,,,Vàng lục,,Nhẹ và giòn,Nông nghiệp,Ca(OH)2,27,Chưng cất phân đoạn không khí lỏng,,,,,,,,,,,
Fe,Hafni,Hafnium,,,,,Đỏ thẫm,,Nặng và dễ gãy,Năng lượng,CaCO3,28,Nung vôi,,,,,,,,,,,
Fl,Thủy ngân,Mercury (Hydrargyrum),,,,,Xanh lục,,Phát xạ bức xạ,Nước giải khát,H2O,31,Phương pháp Haber-Bosch,,,,,,,,,,,
Fm,Holmi,Holmium,,,,,Xanh da trời,,Rất cứng,Phân bón,H2O2,32,Phương pháp nhiệt luyện,,,,,,,,,,,
Fr,Iod,Iodine,,,,,Nâu đen,,Rất mềm,Phẩm màu,H2S,35.5,Phương pháp thủy luyện,,,,,,,,,,,
Fu,Indi,Indium,,,,,Vàng nâu,,Tính khử mạnh,Pin,H2SO4,39,Tất cả đều đúng,,,,,,,,,,,
Ga,Iridi,Iridium,,,,,Đỏ tươi,,Tính khử yếu,Quân sự,HCl,48,Tổng hợp từ đơn chất,,,,,,,,,,,
Gd,Kali,Potassium (Kalium),,,,,Trắng ánh hồng,,Độc,Sản xuất chất dẻo,HNO3,55,Phương pháp Ostwald,,,,,,,,,,,
Ge,Krypton,Krypton,,,,,Xám đen,,Bền trong không khí,Sản xuất nhựa,K2Cr2O7,56,Phương pháp Solvay,,,,,,,,,,,
Gl,Lanthan,Lanthanum,,,,,Ánh kim,,Cách nhiệt,Sản xuất thuốc,KMnO4,59,Nung đá vôi,,,,,,,,,,,
Gm,Lithi,Lithium,,,,,,,Cách điện,Sản xuất thép,NH3,64,Chưng cất than đá,,,,,,,,,,,
Go,Lawrenci,Lawrencium,,,,,,,Có mùi hắc,Sản xuất đồ gốm,SO2,65,Khai thác từ mỏ,,,,,,,,,,,
H,Luteti,Lutetium,,,,,,,Có mùi trứng thối,Thuốc trừ sâu,SO3,70,,,,,,,,,,,,
H2,Mendelevi,Mendelevium,,,,,,,Có từ tính,Thép không rỉ,CH4,73,,,,,,,,,,,,
Hd,Magie,Magnesium,,,,,,,Dẫn nhiệt tốt,Thủy tinh borosilicate,C2H5OH,75,,,,,,,,,,,,
He,Mangan,Manganese,,,,,,,Dẻo,Tiền tệ,H3PO4,79,,,,,,,,,,,,
Hf,Molypden,Molybdenum,,,,,,,Dễ dát mỏng,Trang sức,KOH,80,,,,,,,,,,,,
Hg,Nitơ,Nitrogen,,,,,,,Dễ kéo sợi,Trang trí,Na2CO3,84,,,,,,,,,,,,
Hl,Natri,Sodium (Natrium),,,,,,,Giòn,Tàu vũ trụ,CaO,85,,,,,,,,,,,,
Hm,Niobi,Niobium,,,,,,,Hút ẩm mạnh,Tên lửa,MgO,88,,,,,,,,,,,,
Hn,Neodymi,Neodymium,,,,,,,Hấp thụ nhiệt,Tế bào quang điện,ZnO,108,,,,,,,,,,,,
Ho,Neon,Neon,,,,,,,Khó nóng chảy,Từ kế,Fe3O4,112,,,,,,,,,,,,
Hs,Nickel,Nickel,,,,,,,Không duy trì sự cháy,Xây dựng,CuO,115,,,,,,,,,,,,
I,Nobeli,Nobelium,,,,,,,Khử mạnh,Xây dựng nhà cửa,CaSO4,119,,,,,,,,,,,,
In,Neptuni,Neptunium,,,,,,,Lưỡng tính,Xây dựng và chế tạo,KClO3,122,,,,,,,,,,,,
Ir,Oxy,Oxygen,,,,,,,Nhẹ hơn không khí,Xương nhân tạo,NO2,127,,,,,,,,,,,,
K,Osmi,Osmium,,,,,,,Nhẹ hơn nước,Y học,N2O,131,,,,,,,,,,,,
Ka,Phosphor,Phosphorus,,,,,,,Nặng hơn không khí,Y tế,P2O5,137,,,,,,,,,,,,
Kr,Protactini,Protactinium,,,,,,,Nặng hơn nước,Điện tử,SiO2,197,,,,,,,,,,,,
La,Chì,Lead (Plumbum),,,,,,,Oxy hóa mạnh,Đá quý,HF,201,,,,,,,,,,,,
Ld,Paladi,Palladium,,,,,,,Phát quang,Đèn phát quang,HI,204,,,,,,,,,,,,
Le,Promethi,Promethium,,,,,,,Trơ về mặt hóa học,Đồ gốm,HBr,207,,,,,,,,,,,,
Lh,Poloni,Polonium,,,,,,,Ít tan trong nước,Đồ trang sức,Na2SO4,209,,,,,,,,,,,,
Li,Praseodymi,Praseodymium,,,,,,,Độc hại,Cao su nhân tạo,KCl,210,,,,,,,,,,,,
Lm,Platin,Platinum,,,,,,,Có tính khử mạnh,Chip bán dẫn,MgCl2,222,,,,,,,,,,,,
Ln,Plutoni,Plutonium,,,,,,,Có tính oxi hóa mạnh,Chất bảo quản,CaCl2,226,,,,,,,,,,,,
Lr,Radi,Radium,,,,,,,Có tính phóng xạ,Chất chống đông,AlCl3,238,,,,,,,,,,,,
Lu,Rubidi,Rubidium,,,,,,,Tan tốt trong nước,Chế tạo thuốc nổ,CaSO4.2H2O,,,,,,,,,,,,,
Lv,Rheni,Rhenium,,,,,,,Dễ thăng hoa,Công nghiệp giấy,CaSO4.H2O,,,,,,,,,,,,,
Mc,Rhodi,Rhodium,,,,,,,Háo nước,Công nghiệp thực phẩm,Ca3(PO4)2,,,,,,,,,,,,,
Md,Radon,Radon,,,,,,,Dễ nổ,Công nghệ nano,KCl.MgCl2.6H2O,,,,,,,,,,,,,
Mg,Rutheni,Ruthenium,,,,,,,Có mùi hạnh nhân,Gia vị,ZnS,,,,,,,,,,,,,
Mn,Lưu huỳnh,Sulfur,,,,,,,Nhẹ,Gốm sứ,PbS,,,,,,,,,,,,,
Mo,Antimon,Antimony (Stibium),,,,,,,Nặng,Laser,CuFeS2,,,,,,,,,,,,,
Mt,Scandi,Scandium,,,,,,,Tan tỏa nhiệt,Linh kiện điện tử,NaCl.KCl,,,,,,,,,,,,,
N,Seleni,Selenium,,,,,,,Bền với nhiệt,Luyện kim,FeS2,,,,,,,,,,,,,
Na,Silic,Silicon,,,,,,,Gây bỏng nặng,Làm lạnh,FeCO3,,,,,,,,,,,,,
Nb,Samari,Samarium,,,,,,,Tan trong nước,Màn hình LCD,Na3AlF6,,,,,,,,,,,,,
Nd,Thiếc,Tin (Stannum),,,,,,,Hấp thụ tia X tốt,Làm bả chuột,Ca5(PO4)3F,,,,,,,,,,,,,
Ne,Stronti,Strontium,,,,,,,Dẫn điện và dẫn nhiệt kém,Phát lân quang,CaMg(CO3)2,,,,,,,,,,,,,
Nh,Tantali,Tantalum,,,,,,,Nghịch từ,Làm ổ trục,,,,,,,,,,,,,,
Ni,Terbi,Terbium,,,,,,,Giãn nở khi nóng chảy,Làm mặt nạ phòng độc,,,,,,,,,,,,,,
Nk,Tecneti,Technetium,,,,,,,Dễ vỡ,Làm pháo hoa,,,,,,,,,,,,,,
Nl,Teluri,Tellurium,,,,,,,Dễ cắt bằng dao,,,,,,,,,,,,,,,
Nm,Thori,Thorium,,,,,,,,,,,,,,,,,,,,,,
No,Titani,Titanium,,,,,,,,,,,,,,,,,,,,,,
Np,Tali,Thalium,,,,,,,,,,,,,,,,,,,,,,
Nt,Thuli,Thulium,,,,,,,,,,,,,,,,,,,,,,
O,Urani,Uranium,,,,,,,,,,,,,,,,,,,,,,
